,LSOA,CCG,stp,nhs_region,admissions,LSOA01,WD03CD,WD03NM,data_hosp,Preferred_unit_name,Preferred_unit_postcode
128,Bromley 019D,NHS Bromley CCG,South East London,London,2.4,Bromley 019D,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
129,Bromley 029B,NHS Bromley CCG,South East London,London,4.11,Bromley 029B,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
130,Bromley 019B,NHS Bromley CCG,South East London,London,1.03,Bromley 019B,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
131,Bromley 032B,NHS Bromley CCG,South East London,London,2.4,Bromley 032B,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
132,Bromley 029A,NHS Bromley CCG,South East London,London,3.09,Bromley 029A,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
133,Bromley 029E,NHS Bromley CCG,South East London,London,1.71,Bromley 029E,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
134,Bromley 029C,NHS Bromley CCG,South East London,London,3.09,Bromley 029C,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
135,Bromley 032C,NHS Bromley CCG,South East London,London,1.71,Bromley 032C,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
136,Bromley 028E,NHS Bromley CCG,South East London,London,0.69,Bromley 028E,00AFGY,Petts Wood and Knoll,Princess Royal University Hospital,Princess Royal SU,BR68ND
137,Bromley 028A,NHS Bromley CCG,South East London,London,1.71,Bromley 028A,00AFGM,Cray Valley East,Princess Royal University Hospital,Princess Royal SU,BR68ND
138,Bromley 028C,NHS Bromley CCG,South East London,London,2.74,Bromley 028C,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
139,Bromley 029D,NHS Bromley CCG,South East London,London,2.06,Bromley 029D,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
140,Bromley 028D,NHS Bromley CCG,South East London,London,1.37,Bromley 028D,00AFGY,Petts Wood and Knoll,Princess Royal University Hospital,Princess Royal SU,BR68ND
141,Bromley 036A,NHS Bromley CCG,South East London,London,3.09,Bromley 036A,00AFGQ,Darwin,Princess Royal University Hospital,Princess Royal SU,BR68ND
142,Bromley 037D,NHS Bromley CCG,South East London,London,2.4,Bromley 037D,00AFGH,Chelsfield and Pratts Bottom,Princess Royal University Hospital,Princess Royal SU,BR68ND
143,Bromley 037E,NHS Bromley CCG,South East London,London,2.06,Bromley 037E,00AFGH,Chelsfield and Pratts Bottom,Princess Royal University Hospital,Princess Royal SU,BR68ND
144,Bromley 037C,NHS Bromley CCG,South East London,London,1.03,Bromley 037C,00AFGH,Chelsfield and Pratts Bottom,Princess Royal University Hospital,Princess Royal SU,BR68ND
145,Bromley 036C,NHS Bromley CCG,South East London,London,3.77,Bromley 036C,00AFGR,Farnborough and Crofton,Princess Royal University Hospital,Princess Royal SU,BR68ND
146,Bromley 036D,NHS Bromley CCG,South East London,London,2.4,Bromley 036D,00AFGR,Farnborough and Crofton,Princess Royal University Hospital,Princess Royal SU,BR68ND
147,Bromley 042B,NHS Bromley CCG,South East London,London,5.14,Bromley 038C,00AFGQ,Darwin,Princess Royal University Hospital,Princess Royal SU,BR68ND
148,Bromley 037A,NHS Bromley CCG,South East London,London,4.46,Bromley 037A,00AFGH,Chelsfield and Pratts Bottom,Princess Royal University Hospital,Princess Royal SU,BR68ND
149,Bromley 036B,NHS Bromley CCG,South East London,London,2.74,Bromley 036B,00AFGR,Farnborough and Crofton,Princess Royal University Hospital,Princess Royal SU,BR68ND
150,Bromley 031D,NHS Bromley CCG,South East London,London,1.03,Bromley 031D,00AFGR,Farnborough and Crofton,Princess Royal University Hospital,Princess Royal SU,BR68ND
151,Bromley 031B,NHS Bromley CCG,South East London,London,3.43,Bromley 031B,00AFGR,Farnborough and Crofton,Princess Royal University Hospital,Princess Royal SU,BR68ND
152,Bromley 033D,NHS Bromley CCG,South East London,London,2.4,Bromley 033D,00AFGR,Farnborough and Crofton,Princess Royal University Hospital,Princess Royal SU,BR68ND
153,Bromley 031A,NHS Bromley CCG,South East London,London,2.4,Bromley 031A,00AFGR,Farnborough and Crofton,Princess Royal University Hospital,Princess Royal SU,BR68ND
154,Bromley 032D,NHS Bromley CCG,South East London,London,2.4,Bromley 032D,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
155,Bromley 032A,NHS Bromley CCG,South East London,London,3.09,Bromley 032A,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
156,Bromley 037B,NHS Bromley CCG,South East London,London,2.4,Bromley 037B,00AFGH,Chelsfield and Pratts Bottom,Princess Royal University Hospital,Princess Royal SU,BR68ND
157,Bromley 035E,NHS Bromley CCG,South East London,London,4.46,Bromley 035E,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
158,Bromley 032E,NHS Bromley CCG,South East London,London,1.71,Bromley 032E,00AFGW,Orpington,Princess Royal University Hospital,Princess Royal SU,BR68ND
159,Bromley 035D,NHS Bromley CCG,South East London,London,2.06,Bromley 035D,00AFGH,Chelsfield and Pratts Bottom,Princess Royal University Hospital,Princess Royal SU,BR68ND
160,Bromley 035B,NHS Bromley CCG,South East London,London,3.09,Bromley 035B,00AFGH,Chelsfield and Pratts Bottom,Princess Royal University Hospital,Princess Royal SU,BR68ND
161,Bromley 035A,NHS Bromley CCG,South East London,London,2.74,Bromley 035A,00AFGH,Chelsfield and Pratts Bottom,Princess Royal University Hospital,Princess Royal SU,BR68ND
162,Bromley 031E,NHS Bromley CCG,South East London,London,1.37,Bromley 031E,00AFGR,Farnborough and Crofton,Princess Royal University Hospital,Princess Royal SU,BR68ND
163,Bromley 035C,NHS Bromley CCG,South East London,London,2.4,Bromley 035C,00AFGH,Chelsfield and Pratts Bottom,Princess Royal University Hospital,Princess Royal SU,BR68ND
164,Bromley 007D,NHS Bromley CCG,South East London,London,1.71,Bromley 007D,00AFGJ,Chislehurst,Princess Royal University Hospital,Princess Royal SU,BR68ND
165,Bromley 007C,NHS Bromley CCG,South East London,London,2.4,Bromley 007C,00AFGJ,Chislehurst,Princess Royal University Hospital,Princess Royal SU,BR68ND
166,Bromley 007F,NHS Bromley CCG,South East London,London,1.71,Bromley 007F,00AFGJ,Chislehurst,Princess Royal University Hospital,Princess Royal SU,BR68ND
167,Bromley 007A,NHS Bromley CCG,South East London,London,2.06,Bromley 007A,00AFGD,Bickley,Princess Royal University Hospital,Princess Royal SU,BR68ND
168,Bromley 007E,NHS Bromley CCG,South East London,London,2.74,Bromley 007E,00AFGJ,Chislehurst,Princess Royal University Hospital,Princess Royal SU,BR68ND
